,0.ra,0.dec,hip,solution_id,source_id,name,phot_g_mean_mag,bjmag,ebjmag,vjmag,evjmag,parallax,parallax_error,OC_dist
805,1.49612612276827,-29.6513051773948,,1.6353784107819336e+18,2.3209167638749097e+18,20131426.0,11.4499601518278,12.299,0.043,11.655,0.027,4.4033126813584,0.5245039705161525,0.269
814,1.89255282064559,-30.2872367143567,,1.6353784107819336e+18,2.320645734258792e+18,20131426.0,10.4213246213952,10.976,0.016,10.548,0.018,4.18919055449522,0.44724064778418443,0.269
815,1.89255282064559,-30.2872367143567,,1.6353784107819336e+18,2.320645734258792e+18,20131426.0,10.4213246213952,10.965,0.022,10.567,0.026,4.18919055449522,0.44724064778418443,0.269
817,2.00801079289316,-30.0316710208597,653.0,1.6353784107819336e+18,2.320702187308925e+18,20131426.0,9.6871831649546,10.044,0.046,9.75,0.029,4.15051317089469,0.39768373097667914,0.269
877,3.75010868522208,-31.2733362276569,,1.6353784107819336e+18,2.319554915645229e+18,20131426.0,10.2512750482117,10.894,0.048,10.422,0.026,4.15604521648463,0.599626824201261,0.269
952,0.663583313670446,-29.0752341244647,212.0,1.6353784107819336e+18,2.333013075407422e+18,20131425.0,10.0965184832124,10.59,0.039,10.22,0.062,4.11581847869251,0.4103984308205593,0.269
963,1.53790804176845,-29.1513722661195,512.0,1.6353784107819336e+18,2.321010325442475e+18,20131426.0,7.94057082082112,7.84,0.074,7.842,0.038,4.4776007211656,0.44622602773177183,0.269
964,1.53790804176845,-29.1513722661195,512.0,1.6353784107819336e+18,2.321010325442475e+18,20180033.0,7.94057082082112,8.183,0.195,8.275,0.303,4.4776007211656,0.44622602773177183,0.269
972,1.48511068608027,-28.9362749014288,,1.6353784107819336e+18,2.321022626228808e+18,20131425.0,11.2916163300264,12.059,0.033,11.45,0.023,4.12015957936405,0.6136312694640135,0.269
977,0.285150392029305,-28.6156878134606,,1.6353784107819336e+18,2.3330964321326935e+18,20131425.0,11.4358706045702,12.266,0.026,11.62,0.008,4.56375128518264,0.5778344057734716,0.269
