,0.ra,0.dec,hip,solution_id,source_id,name,phot_g_mean_mag,bjmag,ebjmag,vjmag,evjmag,parallax,parallax_error,OC_dist
2233,53.8821550266199,22.8233960821524,16753.0,1.6353784107819336e+18,6.761828148471654e+16,20121078.0,9.68818581617016,10.405,0.051,99.999,9.999,7.66638678351021,0.3845158775344437,0.15
2237,54.3502915278882,22.3507952401953,,1.6353784107819336e+18,6.45757266489696e+16,20121078.0,9.03413345441294,99.999,9.999,99.999,9.999,6.38051941478296,0.4602195811635996,0.15
2242,54.5941759567965,22.4994917182227,16979.0,1.6353784107819336e+18,6.467189955683136e+16,20121078.0,9.88395775121831,10.67,0.042,10.106,0.03,7.46090981494436,0.4012658116338846,0.15
2260,54.9216587827834,23.2906992854736,17091.0,1.6353784107819336e+18,6.51135596343392e+16,20121203.0,9.76309247078245,10.522,0.073,10.068,-0.0,7.2292547923535,0.3800638572465636,0.15
2262,55.2102707630784,23.4182522766465,,1.6353784107819336e+18,6.511916027138125e+16,20121203.0,10.5914472845864,11.578,0.063,10.885,0.059,7.65898569849688,0.3932073424691308,0.15
2264,55.3457950069036,23.4867475238385,17225.0,1.6353784107819336e+18,6.512046594254886e+16,20121203.0,9.03693553470219,99.999,9.999,99.999,9.999,7.84601819755768,0.38599373542500975,0.15
2309,55.366037825291,23.7081498703232,,1.6353784107819336e+18,6.51509430285792e+16,20121203.0,10.8942550669659,11.975,0.071,11.224,0.021,7.72314027102814,0.3860809346878543,0.15
2323,54.788125674088,24.3676345293219,,1.6353784107819336e+18,6.825026014884672e+16,20121203.0,9.69249910435732,10.45,0.063,99.999,9.999,7.01830361372537,0.4977196990961823,0.15
2326,54.8062273630571,24.4663371854446,17044.0,1.6353784107819336e+18,6.825424587851238e+16,20121203.0,10.1724878111771,11.035,0.071,10.43,0.035,6.87327469038698,0.39209764670374075,0.15
2327,54.7370294247835,24.5696285177814,17020.0,1.6353784107819336e+18,6.844487370696781e+16,20121203.0,10.3308829844909,11.18,0.089,10.578,0.01,7.25848605470714,0.3795284992892048,0.15
2336,55.1281041509707,24.4871260672885,,1.6353784107819336e+18,6.833423534944653e+16,20121203.0,11.4196223197199,12.689,0.076,11.83,0.032,7.27373674488203,0.5666055642996947,0.15
2338,55.600191146454,22.4209538241432,17317.0,1.6353784107819336e+18,6.444972948799091e+16,20121079.0,10.1565458617706,11.011,0.058,10.345,0.024,7.32828627288986,0.38642266886786625,0.15
2350,56.6961766150275,22.9143922805026,,1.6353784107819336e+18,6.489901742687296e+16,20121079.0,10.2907666129346,11.139,0.056,10.489,0.043,7.48054902352428,0.41457834490254875,0.15
2351,56.6600576971874,22.9195963954918,,1.6353784107819336e+18,6.480820463839091e+16,20121079.0,9.26509198772617,99.999,9.999,99.999,9.999,7.30344441542361,0.39193975678091925,0.15
2357,56.6667414572685,23.1101371274928,,1.6353784107819336e+18,6.495282477714944e+16,20121079.0,9.25991841709387,99.999,9.999,99.999,9.999,7.46942211110751,0.415911668248973,0.15
2360,55.8523402485092,23.2257543741946,,1.6353784107819336e+18,6.506370365309018e+16,20121203.0,10.2808080058345,11.315,0.072,10.593,0.047,7.42918784303101,0.38240173807150585,0.15
2363,56.0468270783785,23.3791323798935,,1.6353784107819336e+18,6.507243102689971e+16,20121203.0,11.1329223460489,12.324,0.067,11.543,0.076,7.99824751886854,0.4210465697858853,0.15
2368,55.9072949749546,23.5358005192745,,1.6353784107819336e+18,6.508933601817344e+16,20121203.0,10.5144194417619,11.453,0.058,10.808,0.057,7.64626480510949,0.3951872300453929,0.15
2370,56.0025671356868,23.5437565166348,,1.6353784107819336e+18,6.508658723910362e+16,20121203.0,10.7655809619551,11.811,0.058,11.085,0.054,7.40601357696865,0.4001125383430612,0.15
2374,55.9231442431192,23.6489702224774,17401.0,1.6353784107819336e+18,6.518492481027597e+16,20121203.0,7.84428283426123,99.999,9.999,99.999,9.999,8.1905007970153,0.5994394550064872,0.15
2375,55.8832295936629,23.673866285615,,1.6353784107819336e+18,6.523210073105459e+16,20121203.0,10.5742095155348,11.496,0.057,10.855,0.059,6.97209231265322,0.8783022838648187,0.15
2377,56.5419389294665,23.3398050923464,,1.6353784107819336e+18,6.49711728778985e+16,20121203.0,9.95919130405911,10.748,0.057,10.192,0.052,8.59660717790387,0.6430818258204161,0.15
2379,56.5750561155184,23.4864697243514,,1.6353784107819336e+18,6.498192747600013e+16,20121203.0,10.2751661647131,11.452,0.057,10.693,0.049,6.69077502396985,0.898571794473068,0.15
2380,56.7240379441993,23.5833665020393,,1.6353784107819336e+18,6.500470798253402e+16,20121203.0,10.3257318636757,11.172,0.058,10.603,0.057,7.20233952861221,0.6137534949741229,0.15
2382,56.2721044214328,23.7024788825865,,1.6353784107819336e+18,6.518808590620352e+16,20121203.0,8.85899861127671,99.999,9.999,99.999,9.999,7.40639825683613,0.4272173900332587,0.15
2383,56.6425841668569,23.6238342844416,,1.6353784107819336e+18,6.500869371218266e+16,20121203.0,8.01308795018535,99.999,9.999,99.999,9.999,7.81029360591557,0.3945858179943192,0.15
2384,56.6570907626359,23.7875227745783,,1.6353784107819336e+18,6.519997437569651e+16,20121203.0,9.996947762188,10.975,0.064,10.322,0.043,7.71470865180844,0.38717791173700156,0.15
2394,56.950580334306,23.2178965924404,,1.6353784107819336e+18,6.491344851744819e+16,20121079.0,10.8754418103917,11.894,0.057,11.159,0.065,7.35375424997014,0.39252395991732875,0.15
2400,57.5888577436048,23.0961577837195,,1.6353784107819336e+18,6.417203408247245e+16,20151079.0,11.1017275329798,12.217,0.058,11.312,0.071,7.20000056806556,0.6755752994614184,0.15
2405,57.4854860471285,23.2184434832594,,1.6353784107819336e+18,6.492440927398771e+16,20121079.0,10.0912530670654,10.873,0.044,10.26,0.091,6.60541467524842,0.5027616612425455,0.15
2406,57.4854860471285,23.2184434832594,,1.6353784107819336e+18,6.492440927398771e+16,20121079.0,10.0912530670654,99.999,9.999,99.999,9.999,6.60541467524842,0.5027616612425455,0.15
2407,57.4142578098927,23.2899208639255,,1.6353784107819336e+18,6.492860116206374e+16,20121204.0,10.9380933386465,11.879,0.049,11.193,0.062,7.45468430749106,0.40326350426759366,0.15
2410,57.7144356787987,23.3288817252733,,1.6353784107819336e+18,6.567736858011456e+16,20121204.0,12.0840258538727,13.508,0.017,12.428,0.025,7.06754397788546,0.41238518471201596,0.15
2413,56.7560042441225,23.4947540190815,,1.6353784107819336e+18,6.497972845274419e+16,20121203.0,11.2087424959364,12.33,0.066,11.572,0.031,7.49327276532852,0.4458811773240865,0.15
2418,57.8203650490964,23.8264126564625,,1.6353784107819336e+18,6.648093978137805e+16,20121204.0,11.9762856976809,13.431,0.063,12.356,0.043,7.29699372470188,0.4213644541917444,0.15
2419,57.9870205482595,23.9017657445912,,1.6353784107819336e+18,6.64712159754112e+16,20121204.0,9.9103711452616,10.652,0.065,10.069,0.063,8.29209579454844,0.9339459500988273,0.15
2424,55.8934853888959,23.7617267587221,,1.6353784107819336e+18,6.523378435823117e+16,20121203.0,11.121037657525,12.322,0.051,11.532,0.033,7.31814252130653,0.4668881731899954,0.15
2425,55.9951047446196,23.8825398536424,,1.6353784107819336e+18,6.524206505517453e+16,20121203.0,9.49647687545187,10.235,0.057,99.999,9.999,6.81103043555917,0.7090889980170746,0.15
2429,56.0982164226485,24.1324515267855,,1.6353784107819336e+18,6.527281702100685e+16,20121203.0,8.93175690529688,99.999,9.999,99.999,9.999,8.12265924558408,0.39727393152943025,0.15
2431,55.9613601380127,24.2473052079979,,1.6353784107819336e+18,6.528927533524787e+16,20121203.0,11.0354270278203,12.125,0.056,11.396,0.048,7.98830738738075,0.4777221045946181,0.15
2433,56.2637457501143,23.8392220838605,,1.6353784107819336e+18,6.519464861622784e+16,20121203.0,11.5974703929629,12.886,0.066,12.035,0.048,7.46817359322802,0.4194564842045999,0.15
2434,56.3590210185345,24.0349580454798,,1.6353784107819336e+18,6.522220512639398e+16,20121203.0,8.01252147252586,99.999,9.999,99.999,9.999,8.23269358139052,0.42418103913271765,0.15
2435,56.4652392295342,24.0386890227734,,1.6353784107819336e+18,6.522148357188813e+16,20121203.0,7.83973664918017,99.999,9.999,99.999,9.999,7.41318705974514,0.38880224869092705,0.15
2437,56.2773322008508,24.2633219431726,,1.6353784107819336e+18,6.527549708059648e+16,20121203.0,8.52681191677569,99.999,9.999,99.999,9.999,8.14455552341018,0.5477539668719422,0.15
2438,56.1072529257695,24.3945106131843,,1.6353784107819336e+18,6.52922302727552e+16,20121203.0,8.13286526000272,99.999,9.999,99.999,9.999,8.13896716433052,0.4357198179442919,0.15
2441,55.729739387641,24.4928813975336,,1.6353784107819336e+18,6.831056148971034e+16,20121203.0,9.33026977544493,10.039,0.034,99.999,9.999,7.60675985037785,0.43485587089220923,0.15
2444,56.0148515779345,24.5040545444407,,1.6353784107819336e+18,6.829688631383885e+16,20121203.0,10.458038830678,11.508,0.052,10.864,0.026,7.52159831220232,0.38753248222476544,0.15
2445,56.0012150889916,24.5568058089604,,1.6353784107819336e+18,6.830609472371853e+16,20121203.0,8.03730211807216,99.999,9.999,99.999,9.999,7.82657244817826,0.40900992627594435,0.15
2446,56.0012150889916,24.5568058089604,,1.6353784107819336e+18,6.830609472371853e+16,20121203.0,8.03730211807216,99.999,9.999,99.999,9.999,7.82657244817826,0.40900992627594435,0.15
2447,55.7623565795698,24.6695710047742,,1.6353784107819336e+18,6.831760523606541e+16,20121203.0,11.5878826580925,12.889,0.034,12.002,0.026,7.65518470848312,0.5528187359122569,0.15
2449,56.0580924763914,24.7792078781418,,1.6353784107819336e+18,6.832214072152576e+16,20121203.0,10.5284444447332,11.507,0.038,10.852,0.046,7.37648391617134,0.38560490542655906,0.15
2450,56.0837989152382,24.7959741081617,,1.6353784107819336e+18,6.981163537976576e+16,20121203.0,10.4065216072585,11.422,0.021,10.769,0.056,7.65955318294134,0.3942448517458987,0.15
2454,56.1699162516317,24.8183466836222,,1.6353784107819336e+18,6.981194461741069e+16,20121203.0,9.69311561247365,10.413,0.035,99.999,9.999,7.45179315347671,0.4045266857993777,0.15
2455,56.3506233059376,24.8857919339298,,1.6353784107819336e+18,6.98190227236233e+16,20121203.0,9.52374556509132,10.235,0.026,99.999,9.999,7.57733695443593,0.4071563046725151,0.15
2456,56.3370136539914,24.921886774225,,1.6353784107819336e+18,6.981940068074381e+16,20121203.0,8.90130335348178,99.999,9.999,99.999,9.999,7.07419611678379,0.39523278784207394,0.15
2458,56.6616530899961,24.9594500175578,,1.6353784107819336e+18,6.683845286127027e+16,20121203.0,10.0510621065511,10.896,0.043,10.325,0.051,7.53758255461604,0.3773597930345412,0.15
2463,56.6140640252403,25.1353438825327,,1.6353784107819336e+18,6.98476100266871e+16,20121203.0,10.3417489126152,11.211,0.039,10.594,0.041,7.44185715430992,0.3746507259551489,0.15
2465,56.7676517819467,23.9950255840921,,1.6353784107819336e+18,6.52121033633353e+16,20121203.0,8.31258584451922,99.999,9.999,99.999,9.999,7.1298213146062,0.4399108963471411,0.15
2466,56.8306946920293,24.1389324034034,,1.6353784107819336e+18,6.671527319798285e+16,20121203.0,8.2382727303875,99.999,9.999,99.999,9.999,7.63886785413387,0.42097558296148035,0.15
2467,56.7919820861825,24.276466053893,,1.6353784107819336e+18,6.67292576114967e+16,20121203.0,9.33351179458273,10.029,-0.001,99.999,9.999,7.14613982210898,0.5242595812510024,0.15
2468,57.0565712125831,24.3182241199485,,1.6353784107819336e+18,6.672444724721805e+16,20121203.0,8.18784982527727,99.999,9.999,99.999,9.999,7.06670127447944,0.5358217984365571,0.15
2474,57.8634836676241,24.5184615016914,18050.0,1.6353784107819336e+18,6.665741139761613e+16,20121204.0,8.74441664641073,99.999,9.999,99.999,9.999,7.49736841417028,0.40082129246855086,0.15
2489,56.7289129657483,24.7961474841571,,1.6353784107819336e+18,6.680948760137971e+16,20121203.0,10.3535353753517,11.284,0.037,10.674,0.044,8.12237283749622,0.5742775555790367,0.15
2505,57.9186094204375,24.9829759097529,,1.6353784107819336e+18,6.686305443179827e+16,20121204.0,10.6431691275922,11.605,0.012,10.881,0.055,6.93010937173238,0.513683757206645,0.15
2512,57.5737256781944,25.3793765749475,,1.6353784107819336e+18,6.696025813159872e+16,20121203.0,9.4829877063651,10.206,0.051,99.999,9.999,7.35373113265053,0.39211574392770415,0.15
2519,53.5305604957479,24.3442575792361,16639.0,1.6353784107819336e+18,6.809701571572621e+16,20121202.0,9.393848321492,10.08,0.019,99.999,9.999,7.21923075994977,0.385678818504119,0.15
