,0.ra,0.dec,hip,solution_id,source_id,name,phot_g_mean_mag,bjmag,ebjmag,vjmag,evjmag,parallax,parallax_error,OC_dist
875,132.007077160756,18.6770736042506,43199.0,1.6353784107819336e+18,6.602259117946044e+17,20120978.0,10.1850764815811,11.043,0.031,10.417,0.081,5.32855493367265,0.38690117687951275,0.187
910,131.564271140486,19.7091040899191,43050.0,1.6353784107819336e+18,6.611568545455405e+17,20120978.0,8.32392261073472,8.591,-0.0,8.33,-0.0,5.36847073920863,0.4113183458529031,0.187
916,131.697010682986,19.6446759839295,,1.6353784107819336e+18,6.611115340506367e+17,20120978.0,10.5273985946179,11.303,0.007,10.697,0.005,5.05123334938497,0.6099114801580885,0.187
931,131.267449422092,20.357686803235,,1.6353784107819336e+18,6.617667742612858e+17,20121105.0,10.2158051075305,10.865,0.068,10.296,0.061,6.14841862007534,0.6718661655286552,0.187
1176,130.031951559958,21.0626700620735,42518.0,1.6353784107819336e+18,6.645478858446738e+17,20121104.0,9.21244565512444,10.054,0.047,99.999,9.999,5.81900414705982,0.43178365015076126,0.187
1197,130.150814920289,21.5616589289496,,1.6353784107819336e+18,6.651292869777192e+17,20121104.0,11.4575536868186,12.621,0.155,11.759,0.085,5.74610600269593,0.8171955613517684,0.187
1200,130.496687398638,20.9186018037031,,1.6353784107819336e+18,6.644867942298609e+17,20121104.0,11.0747159532934,12.203,0.18,11.339,0.078,5.41885952211818,0.8150481829084392,0.187
1205,130.720933433651,20.8191802957843,42766.0,1.6353784107819336e+18,6.64845303740261e+17,20121104.0,8.75251093640363,99.999,9.999,99.999,9.999,5.31141315329146,0.43357178679742564,0.187
1217,130.84387767652,21.6716352572803,,1.6353784107819336e+18,6.649630202034956e+17,20121104.0,10.348502198669,11.612,0.412,10.585,0.111,5.83955394512402,0.6302764283294559,0.187
1270,130.911520854275,22.269236921006,,1.6353784107819336e+18,6.652764153771547e+17,20121104.0,11.9626874100158,13.5,0.556,12.353,0.065,5.92615557392497,0.8526462178680633,0.187
1321,131.376885312567,20.5901108963172,42974.0,1.6353784107819336e+18,6.617797966025317e+17,20121105.0,9.69020245164814,10.276,0.079,99.999,9.999,5.70808414567652,0.40819830059298085,0.187
1329,131.310984222903,20.9975352688912,,1.6353784107819336e+18,6.618724648165501e+17,20121105.0,9.36631408905681,10.049,-0.0,99.999,9.999,5.81203058824482,0.4442768827176868,0.187
1347,131.366270127478,21.6535320305475,42965.0,1.6353784107819336e+18,6.650046985661512e+17,20121105.0,10.364156652397,11.051,0.066,10.488,0.092,4.79700459230309,0.4320483163674572,0.187
1404,131.620259686846,22.3521057192272,43078.0,1.6353784107819336e+18,6.651043418077956e+17,20121105.0,8.16530627912708,99.999,9.999,99.999,9.999,5.60294139010889,0.4933090990070339,0.187
